Activity,Activity_Type,Activity_Qualifier,Activity_Value,Compound_CID,Protein_Accession,Label
Active,IC50,,0.128,117891987.0,O60885,1.0
Active,IC50,,0.102,117891973.0,O60885,1.0
Active,IC50,,0.313,117892015.0,O60885,1.0
Active,IC50,,0.049,117891976.0,O60885,1.0
Active,IC50,,0.121,124221567.0,O60885,1.0
Active,IC50,,0.017,117892029.0,O60885,1.0
Active,IC50,=,0.02512,162664941.0,O60885,1.0
Active,IC50,=,0.05012,162674525.0,O60885,1.0
Active,IC50,=,0.05012,162654548.0,O60885,1.0
Active,IC50,=,0.1,162663399.0,O60885,1.0
Active,IC50,<,0.5,123620769.0,O60885,1.0
Active,IC50,<,0.5,146599947.0,O60885,1.0
Active,IC50,<,0.5,123250155.0,O60885,1.0
Active,IC50,<,0.5,124014795.0,O60885,1.0
Active,IC50,<,0.5,123537149.0,O60885,1.0
Active,IC50,<,0.5,118021817.0,O60885,1.0
Active,IC50,<,0.5,118022049.0,O60885,1.0
Active,IC50,<,0.5,118021285.0,O60885,1.0
Active,IC50,=,0.034,163409171.0,O60885,1.0
Active,IC50,=,0.604,168272867.0,O60885,1.0
Active,IC50,=,0.58,168270662.0,O60885,1.0
Active,IC50,=,0.082,168295398.0,O60885,1.0
Active,IC50,=,0.248,168279907.0,O60885,1.0
Active,IC50,,0.000427,54588158.0,O60885,1.0
Active,IC50,,0.0295,66828115.0,O60885,1.0
Active,IC50,=,0.6665,160643803.0,O60885,1.0
Active,IC50,=,0.0253,162659775.0,O60885,1.0
Active,IC50,=,0.4965,162672178.0,O60885,1.0
Active,IC50,=,0.0773,162663021.0,O60885,1.0
Active,IC50,=,0.1935,155289198.0,O60885,1.0
Active,IC50,=,0.5345,162676330.0,O60885,1.0
Active,IC50,=,0.288,162674509.0,O60885,1.0
Active,Ki,,0.0976,155042795.0,O60885,1.0
Active,Ki,,0.172,154663173.0,O60885,1.0
Active,Ki,,0.204,154663171.0,O60885,1.0
Active,Ki,,0.00992,162495304.0,O60885,1.0
Active,Ki,,0.0942,154663168.0,O60885,1.0
Active,IC50,=,0.1678,162649886.0,O60885,1.0
Active,IC50,=,0.0152,162652686.0,O60885,1.0
Active,IC50,=,0.0759,162655693.0,O60885,1.0
Active,IC50,=,0.0127,155289199.0,O60885,1.0
Active,IC50,=,0.965,162654777.0,O60885,1.0
Active,IC50,=,0.1734,162662089.0,O60885,1.0
Active,IC50,=,0.3192,162668323.0,O60885,1.0
Active,IC50,=,0.3291,162647040.0,O60885,1.0
Active,IC50,=,0.3575,162663844.0,O60885,1.0
Active,Ki,,0.236,155043076.0,O60885,1.0
Active,Ki,,0.106,155042820.0,O60885,1.0
Active,Ki,,0.0313,155043858.0,O60885,1.0
Active,Ki,,0.0922,155042776.0,O60885,1.0
Active,Ki,,0.0512,155042751.0,O60885,1.0
Active,Ki,,0.0596,155043772.0,O60885,1.0
Active,Ki,,0.0778,155042775.0,O60885,1.0
Active,Ki,,0.0518,155043078.0,O60885,1.0
Active,Ki,,0.0957,155043484.0,O60885,1.0
Active,Ki,,0.069,155042803.0,O60885,1.0
Active,Ki,,0.128,155043660.0,O60885,1.0
Active,Ki,,0.206,154663166.0,O60885,1.0
Active,Ki,,0.134,155043410.0,O60885,1.0
Active,Ki,,0.137,155042836.0,O60885,1.0
Active,Ki,,0.052,155043609.0,O60885,1.0
Active,Ki,,0.169,154663167.0,O60885,1.0
Active,Ki,,0.0964,155042882.0,O60885,1.0
Active,Ki,,0.089,155043412.0,O60885,1.0
Active,Ki,,0.0524,155043373.0,O60885,1.0
Active,Ki,,0.0693,155043558.0,O60885,1.0
Active,Ki,,0.0948,155043081.0,O60885,1.0
Active,Ki,,0.038,155043372.0,O60885,1.0
Active,Ki,,0.124,155042806.0,O60885,1.0
Active,Ki,,0.229,155043458.0,O60885,1.0
Active,Ki,,0.0805,155042829.0,O60885,1.0
Active,Ki,,0.0078,155043559.0,O60885,1.0
Active,Ki,,0.053,155042752.0,O60885,1.0
Active,Ki,,0.056,155043406.0,O60885,1.0
Active,Ki,,0.0337,155042790.0,O60885,1.0
Active,Ki,,0.0448,155043432.0,O60885,1.0
Active,IC50,=,0.0066,146478897.0,O60885,1.0
